"","mo","temp","NUM_COLLISIONS"
"2524",5,54.6,0.5249343832021
"347",6,64,0.641791044776119
"354",6,62.6,0.662686567164179
"361",6,69.5,0.659701492537313
"711",6,61.2,0.524390243902439
"718",6,71.6,0.789634146341463
"1068",6,53,0.680851063829787
"1082",6,64.8,0.808510638297872
"1432",6,64,0.92896174863388
"1439",6,61.7,0.904371584699454
"1453",6,65.6,0.871584699453552
"1803",6,54.5,0.562982005141388
"1810",6,67.1,0.766066838046273
"1817",6,62.6,0.740359897172236
"2174",6,59.4,0.66578947368421
"2531",6,59.8,0.666666666666667
"389",7,74.9,0.51044776119403
"732",7,69,0.774390243902439
"739",7,69.4,0.503048780487805
"746",7,70.4,0.448170731707317
"753",7,69.2,0.570121951219512
"1096",7,65.5,0.747340425531915
"1117",7,73.7,0.574468085106383
"2209",7,71.2,0.618421052631579
"2573",7,70.9,0.601049868766404
"2580",7,66.1,0.590551181102362
"60",8,73.3,0.466666666666667
"410",8,68.4,0.662686567164179
"774",8,66.6,0.51219512195122
"1509",8,76.5,0.617486338797814
"1880",8,72.3,0.444730077120823
"1887",8,61.8,0.552699228791774
"2237",8,74.1,0.505263157894737
"67",9,75.2,0.628571428571429
"81",9,66.7,0.663492063492063
"431",9,68.5,0.608955223880597
"438",9,69.9,0.525373134328358
"795",9,74,0.536585365853659
"802",9,66.2,0.652439024390244
"816",9,58.9,0.49390243902439
"1166",9,75.8,0.898936170212766
"1180",9,62.4,0.263297872340426
"1187",9,70.5,0.617021276595745
"1530",9,70.3,0.590163934426229
"1537",9,68.4,0.948087431693989
"1551",9,63.1,0.560109289617486
"1894",9,69.6,0.390745501285347
"1908",9,66.1,0.326478149100257
"2272",9,66.5,0.173684210526316
"2279",9,69.4,0.794736842105263
"2636",9,56,0.535433070866142
"2643",9,63.8,0.532808398950131
"102",10,58.2,0.752380952380952
"123",10,49.7,0.463492063492064
"459",10,64.8,0.737313432835821
"466",10,56.4,0.385074626865672
"823",10,62.4,0.472560975609756
"830",10,65.2,0.716463414634146
"844",10,57,0.926829268292683
"1215",10,53.8,0.763297872340426
"1558",10,58.7,0.718579234972678
"1579",10,44.7,0.748633879781421
"1936",10,56.7,0.722365038560411
"1943",10,65.1,0.493573264781491
"2300",10,55.6,0.647368421052632
"2307",10,48.8,0.7
"2314",10,45.9,0.507894736842105
"2650",10,67.6,0.753280839895013
"2664",10,51.5,0.674540682414698
"2671",10,61.4,0.703412073490814
"137",11,42.8,0.704761904761905
"144",11,46.5,0.907936507936508
"151",11,37.5,0.346031746031746
"501",11,33.5,0.576119402985075
"508",11,38,0.617910447761194
"872",11,33.6,0.698170731707317
"1229",11,56.1,0.340425531914894
"1600",11,54.4,0.745901639344262
"1614",11,52.9,0.814207650273224
"1957",11,47,0.529562982005141
"1971",11,54.2,0.817480719794344
"1978",11,52.2,0.629820051413882
"2321",11,57.9,0.639473684210526
"2328",11,39.3,0.618421052631579
"2335",11,39.9,0.734210526315789
"2342",11,41,0.315789473684211
"2685",11,51.5,0.561679790026247
"2692",11,29,0.519685039370079
"2699",11,44.8,0.328083989501312
"158",12,52.6,0.352380952380952
"172",12,44,0.593650793650794
"179",12,32.2,0.406349206349206
"529",12,31.8,0.611940298507463
"536",12,35.4,0.898507462686567
"886",12,51.2,0.503048780487805
"900",12,48.6,0.460365853658537
"907",12,50.7,0.350609756097561
"1250",12,53.6,0.672872340425532
"1264",12,46.5,0.720744680851064
"1278",12,44.8,0.263297872340426
"1621",12,42.8,0.560109289617486
"1628",12,41.2,0.702185792349727
"1635",12,38.8,0.666666666666667
"1642",12,39.1,0.311475409836066
"1985",12,51.3,0.501285347043702
"1992",12,32.8,0.650385604113111
"1999",12,44.3,0.627249357326478
"2006",12,21.9,0.311053984575835
"2356",12,32.3,0.468421052631579
"2363",12,29.8,0.778947368421053
"2370",12,31.8,0.160526315789474
"2713",12,36.6,0.396325459317585
"2720",12,39.9,0.464566929133858
"2727",12,39.3,0.78740157480315
"187",1,21.8,0.444776119402985
"194",1,43.5,0.462686567164179
"201",1,39.4,0.271641791044776
"215",1,46.5,0.573134328358209
"551",1,31.1,0.606707317073171
"558",1,23.5,0.478658536585366
"579",1,22,0.771341463414634
