"","day","mo","NUM_COLLISIONS"
"2718",1,12,0.881889763779528
"2725",1,12,0.309711286089239
"2739",1,12,0.307086614173228
"192",2,1,0.337313432835821
"206",2,1,0.429850746268657
"556",2,1,0.265243902439024
"563",2,1,0.472560975609756
"577",2,1,0.304878048780488
"927",2,1,0.561170212765957
"934",2,1,0.26063829787234
"1284",2,1,0.568306010928962
"1298",2,1,0.628415300546448
"1648",2,1,0.521850899742931
"1662",2,1,0.516709511568123
"1669",2,1,0.277634961439589
"1676",2,1,0.295629820051414
"2019",2,1,0.607894736842105
"2026",2,1,0.431578947368421
"2033",2,1,0.205263157894737
"2040",2,1,0.331578947368421
"2376",2,1,0.0761154855643045
"220",2,2,0.495522388059702
"227",2,2,0.292537313432836
"241",2,2,0.408955223880597
"591",2,2,0.707317073170732
"598",2,2,0.347560975609756
"605",2,2,0.332317073170732
"955",2,2,0.449468085106383
"962",2,2,0.579787234042553
"1319",2,2,0.379781420765027
"1326",2,2,0.5
"1333",2,2,0.521857923497268
"1683",2,2,0.437017994858612
"1690",2,2,0.596401028277635
"2054",2,2,0.421052631578947
"2061",2,2,0.215789473684211
"2418",2,2,0.750656167979003
"2425",2,2,0.330708661417323
"2432",2,2,0.706036745406824
"248",2,3,0.37910447761194
"255",2,3,0.438805970149254
"262",2,3,0.474626865671642
"269",2,3,0.0746268656716418
"619",2,3,0.323170731707317
"626",2,3,0.448170731707317
"976",2,3,0.609042553191489
"990",2,3,0.335106382978723
"1004",2,3,0.601063829787234
"1340",2,3,0.628415300546448
"1354",2,3,0.480874316939891
"1361",2,3,0.53551912568306
"1368",2,3,0.685792349726776
"1711",2,3,0.465295629820051
"1732",2,3,0.349614395886889
"2075",2,3,0.586842105263158
"2096",2,3,0.457894736842105
"2439",2,3,0.624671916010499
"2446",2,3,0.485564304461942
"2453",2,3,0.430446194225722
"2460",2,3,0.548556430446194
"276",2,4,0.11044776119403
"283",2,4,0.635820895522388
"297",2,4,0.337313432835821
"640",2,4,0.442073170731707
"647",2,4,0.615853658536585
"654",2,4,0.146341463414634
"668",2,4,0.460365853658537
"1011",2,4,0.132978723404255
"1018",2,4,0.372340425531915
"1025",2,4,0.646276595744681
"1032",2,4,0.561170212765957
"1375",2,4,0.655737704918033
"1396",2,4,0.128415300546448
"1739",2,4,0.365038560411311
"1753",2,4,0.154241645244216
"1760",2,4,0.686375321336761
"2103",2,4,0.257894736842105
"2117",2,4,0.386842105263158
"2467",2,4,0.398950131233596
"2474",2,4,0.356955380577428
"2481",2,4,0.622047244094488
"2488",2,4,0.501312335958005
"318",2,5,0.492537313432836
"682",2,5,0.475609756097561
"689",2,5,0.75
"696",2,5,0.734756097560976
"1039",2,5,0.627659574468085
"1046",2,5,0.75
"1060",2,5,0.75531914893617
"1417",2,5,0.524590163934426
"1424",2,5,0.718579234972678
"1431",2,5,0.896174863387978
"1767",2,5,0.737789203084833
"1781",2,5,0.611825192802057
"1788",2,5,0.521850899742931
"2131",2,5,0.684210526315789
"2145",2,5,0.855263157894737
"2159",2,5,0.936842105263158
"2509",2,5,0.57742782152231
"2516",2,5,0.902887139107612
"2523",2,5,0.664041994750656
"346",2,6,0.701492537313433
"353",2,6,0.635820895522388
"1067",2,6,0.638297872340426
"1074",2,6,0.664893617021277
"1081",2,6,0.507978723404255
"1088",2,6,0.800531914893617
"1445",2,6,0.778688524590164
"1452",2,6,0.680327868852459
"1802",2,6,0.524421593830334
"1809",2,6,0.958868894601542
"1816",2,6,0.917737789203085
"2166",2,6,0.618421052631579
"2180",2,6,0.944736842105263
"2530",2,6,0.561679790026247
"2537",2,6,0.73753280839895
"367",2,7,0.6
"388",2,7,0.51044776119403
"731",2,7,0.646341463414634
"738",2,7,0.579268292682927
"745",2,7,0.557926829268293
"1109",2,7,0.678191489361702
"1480",2,7,0.729508196721312
"1487",2,7,0.699453551912568
"1851",2,7,0.3573264781491
"2208",2,7,0.597368421052632
"2579",2,7,0.398950131233596
"59",2,8,0.584126984126984
"1130",2,8,0.702127659574468
"1137",2,8,0.529255319148936
"1501",2,8,0.595628415300546
"1515",2,8,0.560109289617486
"1865",2,8,0.44987146529563
"1886",2,8,0.406169665809769
"2250",2,8,0.689473684210526
"80",2,9,0.485714285714286
"87",2,9,0.606349206349206
"437",2,9,0.683582089552239
"444",2,9,0.677611940298507
"451",2,9,0.641791044776119
"801",2,9,0.573170731707317
"815",2,9,0.573170731707317
"1172",2,9,0.470744680851064
"1179",2,9,0.449468085106383
"1529",2,9,0.530054644808743
"1550",2,9,0.620218579234973
"1893",2,9,0.645244215938303
"1907",2,9,0.526992287917738
"2257",2,9,0.876315789473684
"2264",2,9,0.239473684210526
"2271",2,9,0.755263157894737
"2278",2,9,0.689473684210526
"2635",2,9,0.614173228346457
"2642",2,9,0.595800524934383
"101",2,10,0.53015873015873
"108",2,10,0.631746031746032
"465",2,10,0.519402985074627
"486",2,10,0.597014925373134
"829",2,10,0.658536585365854
"843",2,10,0.61890243902439
"1193",2,10,0.609042553191489
"1207",2,10,0.829787234042553
"1557",2,10,0.248633879781421
"1564",2,10,0.83879781420765
"1578",2,10,0.366120218579235
"1928",2,10,0.802056555269923
"1935",2,10,0.719794344473008
"1949",2,10,0.616966580976864
"2299",2,10,0.618421052631579
"2313",2,10,0.705263157894737
"2656",2,10,0.320209973753281
"2663",2,10,0.388451443569554
"2670",2,10,0.42257217847769
"129",2,11,0.352380952380952
"136",2,11,0.777777777777778
"500",2,11,0.737313432835821
"507",2,11,0.597014925373134
"857",2,11,0.408536585365854
"871",2,11,0.939024390243902
"878",2,11,0.594512195121951
"1228",2,11,0.944148936170213
"1235",2,11,0.75
"1242",2,11,0.88031914893617
"1599",2,11,0.844262295081967
"1606",2,11,0.909836065573771
"1613",2,11,0.87431693989071
"1956",2,11,0.652956298200514
"1963",2,11,0.491002570694087
"1970",2,11,0.858611825192802
"1977",2,11,0.496143958868895
"2320",2,11,0.594736842105263
"2327",2,11,0.792105263157895
"2334",2,11,0.636842105263158
"2341",2,11,0.410526315789474
"2691",2,11,0.509186351706037
"2698",2,11,0.601049868766404
"164",2,12,0.555555555555556
"171",2,12,0.768253968253968
"521",2,12,0.456716417910448
"528",2,12,0.414925373134328
"535",2,12,0.904477611940299
"542",2,12,0.343283582089552
"549",2,12,0.194029850746269
"885",2,12,0.63109756097561
"892",2,12,0.734756097560976
"913",2,12,0.198170731707317
"1249",2,12,0.914893617021277
"1256",2,12,0.574468085106383
"1263",2,12,0.938829787234043
"1270",2,12,0.789893617021277
"1277",2,12,0.348404255319149
"1620",2,12,0.762295081967213
"1627",2,12,0.540983606557377
"1641",2,12,0.37431693989071
"1984",2,12,0.637532133676093
"1991",2,12,0.593830334190231
"1998",2,12,0.516709511568123
"2005",2,12,0.223650385604113
"2348",2,12,0.607894736842105
"2362",2,12,0.731578947368421
"2712",2,12,0.574803149606299
"2719",2,12,0.698162729658793
"2726",2,12,0.784776902887139
"2733",2,12,0.338582677165354
"2740",2,12,0.110236220472441
"186",3,1,0.238805970149254
"200",3,1,0.53134328358209
"214",3,1,0.28955223880597
"564",3,1,0.545731707317073
"571",3,1,0.286585365853659
"921",3,1,0.361702127659574
"928",3,1,0.276595744680851
"942",3,1,0.148936170212766
"1292",3,1,0.472677595628415
"1299",3,1,0.521857923497268
"1649",3,1,0.344473007712082
"1656",3,1,0.444730077120823
"1663",3,1,0.239074550128535
"1670",3,1,0.308483290488432
"2034",3,1,0.426315789473684
"2041",3,1,0.376315789473684
"2377",3,1,0.26509186351706
"2384",3,1,0.296587926509186
"2391",3,1,0.467191601049869
"2405",3,1,0.601049868766404
"221",3,2,0.495522388059702
"235",3,2,0.328358208955224
"242",3,2,0.447761194029851
"585",3,2,0.195121951219512
"592",3,2,0.719512195121951
"599",3,2,0.451219512195122
"606",3,2,0.326219512195122
"956",3,2,0.553191489361702
"970",3,2,0.601063829787234
"1327",3,2,0.254098360655738
"1334",3,2,0.622950819672131
"1677",3,2,0.303341902313625
"1684",3,2,0.557840616966581
"1691",3,2,0.377892030848329
"2048",3,2,0.526315789473684
"2069",3,2,0.528947368421053
"2412",3,2,0.561679790026247
"2419",3,2,0.624671916010499
"2426",3,2,0.561679790026247
"2433",3,2,0.335958005249344
"249",3,3,0.223880597014925
"256",3,3,0.704477611940298
"263",3,3,0.417910447761194
"270",3,3,0.122388059701493
"613",3,3,0.265243902439024
"620",3,3,0.338414634146341
"627",3,3,0.36890243902439
"634",3,3,0.484756097560976
"977",3,3,0.457446808510638
"984",3,3,0.433510638297872
"991",3,3,0.38563829787234
"1341",3,3,0.603825136612022
"1355",3,3,0.538251366120219
"1362",3,3,0.516393442622951
"1369",3,3,0.595628415300546
"1705",3,3,0.295629820051414
"1712",3,3,0.393316195372751
"1719",3,3,0.498714652956298
"1726",3,3,0.413881748071979
"1733",3,3,0.555269922879177
"2076",3,3,0.168421052631579
"2083",3,3,0.523684210526316
"2440",3,3,0.493438320209974
"2461",3,3,0.42257217847769
"277",3,4,0.394029850746269
"284",3,4,0.537313432835821
"291",3,4,0.402985074626866
"298",3,4,0.591044776119403
"648",3,4,0.582317073170732
"655",3,4,0.50609756097561
"662",3,4,0.402439024390244
"669",3,4,0.753048780487805
"1005",3,4,0.654255319148936
"1012",3,4,0.146276595744681
"1019",3,4,0.513297872340426
"1026",3,4,0.441489361702128
"1033",3,4,0.736702127659574
"1376",3,4,0.53551912568306
"1383",3,4,0.73224043715847
"1390",3,4,0.724043715846995
"1740",3,4,0.336760925449871
"1754",3,4,0.318766066838046
"1761",3,4,0.447300771208226
"2104",3,4,0.265789473684211
"2118",3,4,0.55
"2125",3,4,0.455263157894737
"2468",3,4,0.556430446194226
"2475",3,4,0.608923884514436
"2482",3,4,0.57742782152231
"312",3,5,0.656716417910448
"319",3,5,0.394029850746269
"326",3,5,0.507462686567164
"333",3,5,0.519402985074627
"697",3,5,0.408536585365854
"1047",3,5,0.672872340425532
"1054",3,5,0.702127659574468
"1061",3,5,0.784574468085106
"1404",3,5,0.603825136612022
"1418",3,5,0.666666666666667
"1768",3,5,0.663239074550129
"1775",3,5,0.544987146529563
"1782",3,5,0.763496143958869
"1789",3,5,0.475578406169666
"2132",3,5,0.892105263157895
"2139",3,5,0.678947368421053
"2146",3,5,0.613157894736842
"2503",3,5,0.650918635170604
"2510",3,5,0.761154855643045
"2517",3,5,0.766404199475066
"2524",3,5,0.5249343832021
"347",3,6,0.641791044776119
"354",3,6,0.662686567164179
"361",3,6,0.659701492537313
"711",3,6,0.524390243902439
"718",3,6,0.789634146341463
"1068",3,6,0.680851063829787
"1082",3,6,0.808510638297872
"1432",3,6,0.92896174863388
"1439",3,6,0.904371584699454
"1453",3,6,0.871584699453552
"1803",3,6,0.562982005141388
"1810",3,6,0.766066838046273
"1817",3,6,0.740359897172236
"2174",3,6,0.66578947368421
"2531",3,6,0.666666666666667
"389",3,7,0.51044776119403
"732",3,7,0.774390243902439
"739",3,7,0.503048780487805
"746",3,7,0.448170731707317
"753",3,7,0.570121951219512
"1096",3,7,0.747340425531915
"1117",3,7,0.574468085106383
"2209",3,7,0.618421052631579
"2573",3,7,0.601049868766404
"2580",3,7,0.590551181102362
"60",3,8,0.466666666666667
"410",3,8,0.662686567164179
"774",3,8,0.51219512195122
"1509",3,8,0.617486338797814
"1880",3,8,0.444730077120823
"1887",3,8,0.552699228791774
"2237",3,8,0.505263157894737
"67",3,9,0.628571428571429
"81",3,9,0.663492063492063
"431",3,9,0.608955223880597
"438",3,9,0.525373134328358
"795",3,9,0.536585365853659
"802",3,9,0.652439024390244
"816",3,9,0.49390243902439
"1166",3,9,0.898936170212766
"1180",3,9,0.263297872340426
"1187",3,9,0.617021276595745
"1530",3,9,0.590163934426229
"1537",3,9,0.948087431693989
"1551",3,9,0.560109289617486
"1894",3,9,0.390745501285347
"1908",3,9,0.326478149100257
"2272",3,9,0.173684210526316
"2279",3,9,0.794736842105263
"2636",3,9,0.535433070866142
"2643",3,9,0.532808398950131
"102",3,10,0.752380952380952
"123",3,10,0.463492063492064
"459",3,10,0.737313432835821
"466",3,10,0.385074626865672
"823",3,10,0.472560975609756
"830",3,10,0.716463414634146
"844",3,10,0.926829268292683
"1215",3,10,0.763297872340426
"1558",3,10,0.718579234972678
"1579",3,10,0.748633879781421
"1936",3,10,0.722365038560411
"1943",3,10,0.493573264781491
"2300",3,10,0.647368421052632
"2307",3,10,0.7
"2314",3,10,0.507894736842105
"2650",3,10,0.753280839895013
"2664",3,10,0.674540682414698
"2671",3,10,0.703412073490814
"137",3,11,0.704761904761905
"144",3,11,0.907936507936508
"151",3,11,0.346031746031746
"501",3,11,0.576119402985075
"508",3,11,0.617910447761194
"872",3,11,0.698170731707317
"1229",3,11,0.340425531914894
"1600",3,11,0.745901639344262
"1614",3,11,0.814207650273224
"1957",3,11,0.529562982005141
"1971",3,11,0.817480719794344
"1978",3,11,0.629820051413882
"2321",3,11,0.639473684210526
"2328",3,11,0.618421052631579
"2335",3,11,0.734210526315789
"2342",3,11,0.315789473684211
"2685",3,11,0.561679790026247
"2692",3,11,0.519685039370079
"2699",3,11,0.328083989501312
"158",3,12,0.352380952380952
"172",3,12,0.593650793650794
"179",3,12,0.406349206349206
"529",3,12,0.611940298507463
"536",3,12,0.898507462686567
"886",3,12,0.503048780487805
"900",3,12,0.460365853658537
"907",3,12,0.350609756097561
"1250",3,12,0.672872340425532
"1264",3,12,0.720744680851064
"1278",3,12,0.263297872340426
"1621",3,12,0.560109289617486
"1628",3,12,0.702185792349727
"1635",3,12,0.666666666666667
"1642",3,12,0.311475409836066
"1985",3,12,0.501285347043702
"1992",3,12,0.650385604113111
"1999",3,12,0.627249357326478
"2006",3,12,0.311053984575835
"2356",3,12,0.468421052631579
"2363",3,12,0.778947368421053
"2370",3,12,0.160526315789474
"2713",3,12,0.396325459317585
"2720",3,12,0.464566929133858
"2727",3,12,0.78740157480315
"187",4,1,0.444776119402985
"194",4,1,0.462686567164179
"201",4,1,0.271641791044776
