"","temp","visib","wdsp","NUM_COLLISIONS"
"1739",42.9,6.3,16.3,0.365038560411311
"1753",47.8,10,12.1,0.154241645244216
"1760",49.7,6.7,14.2,0.686375321336761
"2103",35.3,9.3,7.5,0.257894736842105
"2117",45.6,8.4,16.1,0.386842105263158
"2467",37.1,10,8.7,0.398950131233596
"2474",41.4,9.4,12.7,0.356955380577428
"2481",47.1,10,18.3,0.622047244094488
"2488",48.8,6.3,11.4,0.501312335958005
"318",51,9.8,11.8,0.492537313432836
"682",51.8,10,14.1,0.475609756097561
"689",56.4,9.9,10.4,0.75
"696",61.1,9.5,10,0.734756097560976
"1039",57.1,9.8,11,0.627659574468085
"1046",58.3,0.9,11.3,0.75
"1060",61.1,9.8,14.4,0.75531914893617
"1417",55,10,11.9,0.524590163934426
"1424",54.6,4.4,10.7,0.718579234972678
"1431",62.8,4.9,10.1,0.896174863387978
"1767",55.4,2.2,14.5,0.737789203084833
"1781",57.5,10,10.7,0.611825192802057
"1788",56.8,7.5,11.8,0.521850899742931
"2131",48.4,10,7.6,0.684210526315789
"2145",53.9,3,10.7,0.855263157894737
"2159",57.7,6,8.5,0.936842105263158
"2509",44.9,7,15,0.57742782152231
"2516",58.9,7.8,13.5,0.902887139107612
"2523",51.6,8.1,8.8,0.664041994750656
"346",60.8,1.8,13.2,0.701492537313433
"353",60.9,3.1,4.9,0.635820895522388
"1067",53.4,6.6,13.7,0.638297872340426
"1074",64,7.9,14.2,0.664893617021277
"1081",64.2,3.6,7.1,0.507978723404255
"1088",65.5,7.8,10.2,0.800531914893617
"1445",62.2,10,12.9,0.778688524590164
"1452",63.6,7.4,12.2,0.680327868852459
"1802",52.4,5.1,15.2,0.524421593830334
"1809",67.3,7.6,10.6,0.958868894601542
"1816",63.4,1.1,15,0.917737789203085
"2166",54.5,9.4,11,0.618421052631579
"2180",67.7,6.3,11.6,0.944736842105263
"2530",58.5,10,12.6,0.561679790026247
"2537",63.7,5.4,11.2,0.73753280839895
"367",67.7,4,9.5,0.6
"388",72.1,3.7,8.1,0.51044776119403
"731",68.6,9.8,9.1,0.646341463414634
"738",69.5,6.2,11.8,0.579268292682927
"745",71.4,5.8,13.1,0.557926829268293
"1109",67.4,9.8,9.2,0.678191489361702
"1480",73.8,8.3,10.1,0.729508196721312
"1487",75.3,9,12.1,0.699453551912568
"1851",62.8,9.5,13.8,0.3573264781491
"2208",70.5,4.6,10.7,0.597368421052632
"2579",70.4,7.8,10.6,0.398950131233596
"59",77.9,9,6,0.584126984126984
"1130",75,6.1,10.4,0.702127659574468
"1137",67.9,7.5,12,0.529255319148936
"1501",71.5,10,6.6,0.595628415300546
"1515",69,10,10.4,0.560109289617486
"1865",65.2,7.8,11.3,0.44987146529563
"1886",62,9.9,8.6,0.406169665809769
"2250",73,3.5,9,0.689473684210526
"80",70.6,7.6,5.5,0.485714285714286
"87",62,10,4.9,0.606349206349206
"437",65.5,10,10.1,0.683582089552239
"444",56.1,10,16.3,0.677611940298507
"451",54.5,10,8.4,0.641791044776119
"801",64.6,10,10.9,0.573170731707317
"815",59,10,9.3,0.573170731707317
"1172",70.8,10,10.1,0.470744680851064
"1179",63.5,10,10.4,0.449468085106383
"1529",69.9,7.9,15.2,0.530054644808743
"1550",65.4,7.1,11,0.620218579234973
"1893",68.1,6.9,14,0.645244215938303
"1907",65.5,3.3,14.5,0.526992287917738
"2257",75.7,6.1,9.9,0.876315789473684
"2264",68.9,7.4,10,0.239473684210526
"2271",71,8.1,8.7,0.755263157894737
"2278",60.5,8.7,14.4,0.689473684210526
"2635",61.5,10,9.2,0.614173228346457
"2642",68.6,7.8,11.1,0.595800524934383
"101",53.8,8.5,5.6,0.53015873015873
"108",55.8,9.9,5.8,0.631746031746032
"465",61.5,8.7,12.2,0.519402985074627
"486",47.5,10,6.8,0.597014925373134
"829",63,10,11.5,0.658536585365854
"843",57.7,9.3,10.5,0.61890243902439
"1193",59.4,10,10.5,0.609042553191489
"1207",58.2,9.7,21.3,0.829787234042553
"1557",60.5,9.7,12.4,0.248633879781421
"1564",54.3,10,10.1,0.83879781420765
"1578",49.1,10,14.1,0.366120218579235
"1928",68.8,5.9,11,0.802056555269923
"1935",51.1,10,12.1,0.719794344473008
"1949",57.7,10,18.1,0.616966580976864
"2299",57.1,8.6,15.5,0.618421052631579
"2313",47.9,10,9.8,0.705263157894737
"2656",61.3,9.3,12.1,0.320209973753281
"2663",56.7,10,8.9,0.388451443569554
"2670",56.3,7.9,11.5,0.42257217847769
"129",36.6,10,4.8,0.352380952380952
"136",52.4,8.8,6.1,0.777777777777778
"500",45.7,8.5,16.5,0.737313432835821
"507",47,9.8,14,0.597014925373134
"857",52.7,10,6.9,0.408536585365854
"871",48.9,7.8,17.1,0.939024390243902
"878",56.7,3.6,11.2,0.594512195121951
"1228",55.8,9.3,7.9,0.944148936170213
"1235",45.3,10,11.9,0.75
"1242",37.5,10,11.7,0.88031914893617
"1599",54.8,8.6,9.9,0.844262295081967
